,Modem,Modem,Power_factor_L3,Power_factor_L2,Power_factor_L1,kVA_L3_0-Pmax,kVA_L2_0-Pmax,kVA_L1_0-Pmax,kvar_L3_,kvar_L2_,kvar_L1_,kW_L3_,kW_L2_,kW_L1_,I3_Current_0-Imax,I2_Current_0-Imax,I1_Current_0-Imax,V3/V31_Voltage_0-Vmax,V2/V23_Voltage_0-Vmax,V1/V12_Voltage_0-Vmax,Harmonic_H40,Harmonic_H39,Harmonic_H38,Harmonic_H37,Harmonic_H36,Harmonic_H35,Harmonic_H34,Harmonic_H33,Harmonic_H32,Harmonic_H31,Harmonic_H30,Harmonic_H29,Harmonic_H28,Harmonic_H27,Harmonic_H26,Harmonic_H25,Harmonic_H24,Harmonic_H23,Harmonic_H22,Harmonic_H21,Harmonic_H20,Harmonic_H19,Harmonic_H18,Harmonic_H17,Harmonic_H16,Harmonic_H15,Harmonic_H14,Harmonic_H13,Harmonic_H12,Harmonic_H11,Harmonic_H10,Harmonic_H09,Harmonic_H08,Harmonic_H07,Harmonic_H06,Harmonic_H05,Harmonic_H04,Harmonic_H03,Harmonic_H02,Harmonic_H01,Harmonic_H40,Harmonic_H39,Harmonic_H38,Harmonic_H37,Harmonic_H36,Harmonic_H35,Harmonic_H34,Harmonic_H33,Harmonic_H32,Harmonic_H31,Harmonic_H30,Harmonic_H29,Harmonic_H28,Harmonic_H27,Harmonic_H26,Harmonic_H25,Harmonic_H24,Harmonic_H23,Harmonic_H22,Harmonic_H21,Harmonic_H20,Harmonic_H19,Harmonic_H18,Harmonic_H17,Harmonic_H16,Harmonic_H15,Harmonic_H14,Harmonic_H13,Harmonic_H12,Harmonic_H11,Harmonic_H10,Harmonic_H09,Harmonic_H08,Harmonic_H07,Harmonic_H06,Harmonic_H05,Harmonic_H04,Harmonic_H03,Harmonic_H02,Harmonic_H01,Harmonic_H40 I1,Harmonic_H39 I1,Harmonic_H38 I1,Harmonic_H37 I1,Harmonic_H36 I1,Harmonic_H35 I1,Harmonic_H34 I1,Harmonic_H33 I1,Harmonic_H32 I1,Harmonic_H31 I1,Harmonic_H30 I1,Harmonic_H29 I1,Harmonic_H28 I1,Harmonic_H27 I1,Harmonic_H26 I1,Harmonic_H25 I1,Harmonic_H24 I1,Harmonic_H23 I1,Harmonic_H22 I1,Harmonic_H21 I1,Harmonic_H20 I1,Harmonic_H19 I1,Harmonic_H18 I1,Harmonic_H17 I1,Harmonic_H16 I1,Harmonic_H15 I1,Harmonic_H14 I1,Harmonic_H13 I1,Harmonic_H12 I1,Harmonic_H11 I1,Harmonic_H10 I1,Harmonic_H09 I1,Harmonic_H08 I1,Harmonic_H07 I1,Harmonic_H06 I1,Harmonic_H05 I1,Harmonic_H04 I1,Harmonic_H03 I1,Harmonic_H02 I1,Harmonic_H01 I1,Harmonic_H40 V3/V31 ,Harmonic_H39 V3/V31 ,Harmonic_H38 V3/V31 ,Harmonic_H37 V3/V31 ,Harmonic_H36 V3/V31 ,Harmonic_H35 V3/V31 ,Harmonic_H34 V3/V31 ,Harmonic_H33 V3/V31 ,Harmonic_H32 V3/V31 ,Harmonic_H31 V3/V31 ,Harmonic_H30 V3/V31 ,Harmonic_H29 V3/V31 ,Harmonic_H28 V3/V31 ,Harmonic_H27 V3/V31 ,Harmonic_H26 V3/V31 ,Harmonic_H25 V3/V31 ,Harmonic_H24 V3/V31 ,Harmonic_H23 V3/V31 ,Harmonic_H22 V3/V31 ,Harmonic_H21 V3/V31 ,Harmonic_H20 V3/V31 ,Harmonic_H19 V3/V31 ,Harmonic_H18 V3/V31 ,Harmonic_H17 V3/V31 ,Harmonic_H16 V3/V31 ,Harmonic_H15 V3/V31 ,Harmonic_H14 V3/V31 ,Harmonic_H13 V3/V31 ,Harmonic_H12 V3/V31 ,Harmonic_H11 V3/V31 ,Harmonic_H10 V3/V31 ,Harmonic_H09 V3/V31 ,Harmonic_H08 V3/V31 ,Harmonic_H07 V3/V31 ,Harmonic_H06 V3/V31 ,Harmonic_H05 V3/V31 ,Harmonic_H04 V3/V31 ,Harmonic_H03 V3/V31 ,Harmonic_H02 V3/V31 ,Harmonic_H01 V3/V31 ,Harmonic_H40 V2/V23 ,Harmonic_H39 V2/V23 ,Harmonic_H38 V2/V23 ,Harmonic_H37 V2/V23 ,Harmonic_H36 V2/V23 ,Harmonic_H35 V2/V23 ,Harmonic_H34 V2/V23 ,Harmonic_H33 V2/V23 ,Harmonic_H32 V2/V23 ,Harmonic_H31 V2/V23 ,Harmonic_H30 V2/V23 ,Harmonic_H29 V2/V23 ,Harmonic_H28 V2/V23 ,Harmonic_H27 V2/V23 ,Harmonic_H26 V2/V23 ,Harmonic_H25 V2/V23 ,Harmonic_H24 V2/V23 ,Harmonic_H23 V2/V23 ,Harmonic_H22 V2/V23 ,Harmonic_H21 V2/V23 ,Harmonic_H20 V2/V23 ,Harmonic_H19 V2/V23 ,Harmonic_H18 V2/V23 ,Harmonic_H17 V2/V23 ,Harmonic_H16 V2/V23 ,Harmonic_H15 V2/V23 ,Harmonic_H14 V2/V23 ,Harmonic_H13 V2/V23 ,Harmonic_H12 V2/V23 ,Harmonic_H11 V2/V23 ,Harmonic_H10 V2/V23 ,Harmonic_H09 V2/V23 ,Harmonic_H08 V2/V23 ,Harmonic_H07 V2/V23 ,Harmonic_H06 V2/V23 ,Harmonic_H05 V2/V23 ,Harmonic_H04 V2/V23 ,Harmonic_H03 V2/V23 ,Harmonic_H02 V2/V23 ,Harmonic_H01 V2/V23 ,Harmonic_H40_V1/V13,Harmonic_H39_V1/V12 ,Harmonic_H38_V1/V12 ,Harmonic_H37_V1/V12 ,Harmonic_H36_V1/V12 ,Harmonic_H35_V1/V12 ,Harmonic_H34_V1/V12 ,Harmonic_H33_V1/V12 ,Harmonic_H32_V1/V12 ,Harmonic_H31_V1/V12 ,Harmonic_H30_V1/V12 ,Harmonic_H29_V1/V12 ,Harmonic_H28_V1/V12 ,Harmonic_H27_V1/V12 ,Harmonic_H26_V1/V12 ,Harmonic_H25_V1/V12 ,Harmonic_H24_V1/V12 ,Harmonic_H23_V1/V12 ,Harmonic_H22_V1/V12 ,Harmonic_H21_V1/V12 ,Harmonic_H20_V1/V12 ,Harmonic_H19_V1/V12 ,Harmonic_H18_V1/V12 ,Harmonic_H17_V1/V12 ,Harmonic_H16_V1/V12 ,Harmonic_H15_V1/V12 ,Harmonic_H14_V1/V12 ,Harmonic_H13_V1/V12 ,Harmonic_H12_V1/V12 ,Harmonic_H11_V1/V12 ,Harmonic_H10_V1/V12 ,Harmonic_H09_V1/V12 ,Harmonic_H08_V1/V12 ,Harmonic_H07_V1/V12 ,Harmonic_H06_V1/V12 ,Harmonic_H05_V1/V12 ,Harmonic_H04_V1/V12 ,Harmonic_H03_V1/V12 ,Harmonic_H02_V1/V12 ,Harmonic_H01_V1/V12 ,Not_used_UINT32,kvar_export_predicted,kW_export_predicted,kvar_export_accumulated,kW_export_accumulated,kvar_export_sliding,kW_export_sliding,kVA_sliding_window,kvar_import_sliding,kW_import_sliding,kVA_block_demand,kvar_import_block,kW_import_block,I3_Ampere_demand,I2_Ampere_demand,I1_Ampere_demand,V3/V31_Volt_demand,V2/V23_Volt_demand,V1/V12_Volt_demand,Current_unbalance_0-3000,Voltage_unbalance_0-3000,Frequency_0-Fmax_×0.01Hz,In_(neutral)_Current,Not_used_UINT32,V31_Voltage_0-Vmax,V23_Voltage_0-Vmax,V12_Voltage_0-Vmax,I3_Current_TDD,I2_Current_TDD,I1_Current_TDD,I3_K-Factor_2958374,I2_K-Factor_2958374,I1_K-Factor_2958374,I3_Current_THD,I2_Current_THD,I1_Current_THD,V3/V31_Voltage_THD,V2/V23_Voltage_THD,V1/V12_Voltage_THD,Power_factor_L3,Power_factor_L2,Power_factor_L1,kVA_L3_0-Pmax,kVA_L2_0-Pmax,kVA_L1_0-Pmax,kvar_L3_,kvar_L2_,kvar_L1_,kW_L3_,kW_L2_,kW_L1_,I3_Current_0-Imax,I2_Current_0-Imax,I1_Current_0-Imax,V3/V31_Voltage_0-Vmax,V2/V23_Voltage_0-Vmax,V1/V12_Voltage_0-Vmax,Modem,Modem,AI,AI,AI,AI,AI,AI,AI,AI,DI,DI,DI,DI,DI,DI,DI,DI,in,cos,cos,kW/h,i3,i2,i1,v3,v2,v1,kW,kW
2020-09-15 00:00:00,89972010419030360857,27,98,130,54,57,47,51,56,47,15,6,6,207,206,208,405,486,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,143,0,53,0,130,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,28,0,51,0,0,0,121,0,96,0,90,58,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,65,0,0,0,105,0,101,0,89,71,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,59,0,59,0,51,0,50,0,192,0,118,0,112,0,197,0,884,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,58,0,57,0,49,0,51,0,190,0,118,0,115,0,197,0,885,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,21,0,59,0,59,0,55,0,64,0,221,0,135,0,197,0,326,0,986,0,10000,0,0,0,0,0,0,0,157,155,26,157,155,26,206,206,208,404,404,404,0,4997,0,0,0,405,405,405,8,6,8,10,10,10,21,16,19,20,95,109,272,94,124,54,57,47,52,57,47,15,5,6,209,208,209,405,405,404,89972010419030360550,21,0,0,0,0,0,0,-24.12723041117145,-238.35403726708074,False,False,False,False,False,False,False,False,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err
2020-09-14 23:59:00,89972010419030360857,27,92,122,55,58,48,53,58,47,15,5,6,209,209,209,405,487,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,97,0,43,0,135,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,77,0,0,0,135,0,76,0,102,61,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,31,0,72,0,0,0,105,0,96,0,70,47,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,59,0,55,0,46,0,189,0,122,0,122,0,194,0,885,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,55,0,57,0,54,0,46,0,190,0,125,0,121,0,195,0,883,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,57,0,61,0,59,0,61,0,215,0,138,0,204,0,322,0,994,0,10000,0,0,0,0,0,0,0,157,155,26,157,155,26,206,206,208,404,404,404,0,4995,0,0,0,405,405,405,8,6,8,10,10,10,20,16,19,20,94,109,273,94,123,55,57,48,53,57,47,15,5,6,209,208,210,405,405,405,89972010419030360550,21,0,0,0,0,0,0,-24.12723041117145,-238.35403726708074,False,False,False,False,False,False,False,False,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err
2020-09-14 23:58:00,89972010419030360857,27,91,125,54,56,47,53,58,48,14,5,5,210,210,211,404,486,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,143,0,47,0,119,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,135,0,79,0,88,76,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,21,0,79,0,0,0,87,0,83,0,81,72,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,50,0,35,0,53,0,41,0,183,0,121,0,118,0,193,0,884,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,22,0,66,0,75,0,57,0,41,0,182,0,121,0,119,0,192,0,883,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,55,0,59,0,59,0,61,0,215,0,138,0,204,0,322,0,994,0,10000,0,0,0,0,0,0,0,157,155,26,157,155,26,206,206,208,404,404,404,0,4993,0,0,0,404,404,404,8,6,8,10,10,10,20,16,19,20,95,110,270,95,127,54,57,47,52,57,47,15,5,6,207,208,209,404,404,405,89972010419030360550,21,0,0,0,0,0,0,-24.12723041117145,-238.35403726708074,False,False,False,False,False,False,False,False,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err
2020-09-14 23:57:00,89972010419030360857,27,83,117,55,58,48,52,57,47,15,6,6,205,206,207,404,486,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,27,0,0,0,0,0,83,0,0,0,105,0,47,0,121,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,20,0,35,0,53,0,0,0,96,0,87,0,116,61,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,30,0,53,0,0,0,94,0,91,0,114,56,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,53,0,36,0,54,0,41,0,183,0,121,0,118,0,193,0,884,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,22,0,66,0,75,0,57,0,41,0,182,0,121,0,119,0,192,0,883,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,25,0,75,0,75,0,67,0,55,0,208,0,138,0,201,0,321,0,992,0,10000,0,0,0,0,0,0,0,157,155,26,157,155,26,206,206,208,404,404,404,0,4994,0,0,0,403,404,403,8,7,8,10,10,10,20,16,19,20,94,110,273,93,127,54,57,47,52,57,47,15,5,6,207,207,208,404,404,404,89972010419030360550,21,0,0,0,0,0,0,-24.12723041117145,-238.35403726708074,False,False,False,False,False,False,False,False,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err
2020-09-14 23:56:00,89972010419030360857,27,92,123,54,57,47,52,57,47,15,5,6,207,206,209,404,486,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,22,0,0,0,0,0,84,0,0,0,140,0,54,0,129,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,20,0,35,0,53,0,0,0,96,0,87,0,116,61,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,30,0,53,0,0,0,94,0,91,0,114,56,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,60,0,73,0,59,0,40,0,191,0,122,0,117,0,193,0,882,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,21,0,60,0,73,0,59,0,41,0,194,0,117,0,111,0,193,0,878,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,23,0,62,0,68,0,69,0,52,0,217,0,135,0,195,0,320,0,993,0,10000,0,0,0,0,0,0,0,157,155,26,157,155,26,206,206,208,404,404,404,0,4995,0,0,0,404,404,404,8,6,8,10,10,10,20,16,19,20,94,109,273,93,123,54,57,47,52,56,47,15,5,6,208,206,208,404,404,404,89972010419030360550,21,0,0,0,0,0,0,-24.12723041117145,-238.35403726708074,False,False,False,False,False,False,False,False,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err
2020-09-14 23:55:00,89972010419030360857,27,93,123,54,56,47,52,57,47,15,5,6,207,206,209,404,486,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,22,0,0,0,0,0,84,0,0,0,140,0,54,0,129,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,64,0,0,0,111,0,76,0,104,79,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,30,0,50,0,0,0,87,0,83,0,98,65,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,20,0,58,0,63,0,55,0,41,0,195,0,118,0,109,0,195,0,881,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,20,0,57,0,71,0,57,0,40,0,188,0,121,0,114,0,193,0,883,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,22,0,59,0,63,0,71,0,59,0,213,0,136,0,196,0,318,0,982,0,10000,0,0,0,0,0,0,0,158,156,26,158,156,26,207,208,210,405,405,405,0,4995,0,0,0,404,404,404,8,6,8,10,10,10,21,16,19,20,94,109,275,91,123,54,56,47,52,56,47,15,5,6,207,205,208,404,404,404,89972010419030360550,21,0,0,0,0,0,0,-24.12723041117145,-238.35403726708074,False,False,False,False,False,False,False,False,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err
2020-09-14 23:54:00,89972010419030360857,27,93,124,54,56,47,52,57,47,15,5,6,207,206,208,404,485,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,22,0,62,0,0,0,146,0,58,0,137,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,20,0,64,0,0,0,133,0,73,0,85,69,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,24,0,65,0,0,0,135,0,74,0,90,61,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,22,0,60,0,68,0,55,0,43,0,189,0,118,0,111,0,197,0,882,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,24,0,58,0,70,0,56,0,44,0,194,0,123,0,113,0,197,0,881,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,24,0,60,0,61,0,65,0,59,0,213,0,136,0,197,0,322,0,987,0,10000,0,0,0,0,0,0,0,158,156,26,158,156,26,207,208,210,405,405,405,0,4994,0,0,0,404,404,404,8,6,8,10,10,10,21,16,19,20,94,109,274,92,124,54,56,47,52,56,47,15,5,6,207,205,208,404,404,404,89972010419030360550,21,0,0,0,0,0,0,-24.12723041117145,-238.35403726708074,False,False,False,False,False,False,False,False,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err
2020-09-14 23:53:00,89972010419030360857,27,91,122,54,56,47,52,57,47,15,5,6,208,206,209,404,485,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,28,0,0,0,0,0,80,0,0,0,137,0,48,0,129,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,30,0,74,0,0,0,139,0,78,0,94,63,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,20,0,30,0,49,0,0,0,119,0,86,0,68,73,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,23,0,60,0,66,0,53,0,42,0,189,0,121,0,114,0,198,0,880,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,22,0,59,0,72,0,55,0,43,0,194,0,122,0,109,0,197,0,881,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,23,0,62,0,61,0,67,0,57,0,216,0,132,0,192,0,317,0,985,0,10000,0,0,0,0,0,0,0,158,156,26,158,156,26,207,208,210,405,405,405,0,4994,0,0,0,404,404,404,8,6,8,10,10,10,21,16,19,20,94,109,274,92,124,54,57,47,52,56,47,15,5,6,207,206,208,404,404,404,89972010419030360550,21,0,0,0,0,0,0,-24.12723041117145,-238.35403726708074,False,False,False,False,False,False,False,False,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err
2020-09-14 23:52:00,89972010419030360857,27,77,109,55,57,48,52,57,47,15,5,6,206,207,208,404,486,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,28,0,0,0,0,0,74,0,0,0,90,0,47,0,137,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,70,0,0,0,95,0,88,0,81,55,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,45,0,0,0,113,0,83,0,85,60,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,30,0,63,0,63,0,51,0,39,0,176,0,116,0,114,0,191,0,882,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,30,0,63,0,62,0,51,0,40,0,177,0,117,0,116,0,191,0,883,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,23,0,58,0,61,0,69,0,57,0,217,0,135,0,202,0,321,0,993,0,10000,0,0,0,0,0,0,0,158,156,26,158,156,26,207,208,210,405,405,405,0,4996,0,0,0,404,404,404,8,6,8,10,10,10,20,16,19,20,94,109,271,93,128,54,57,47,52,57,47,15,5,6,207,208,208,404,404,404,89972010419030360550,21,0,0,0,0,0,0,-24.12723041117145,-238.35403726708074,False,False,False,False,False,False,False,False,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err
2020-09-14 23:51:00,89972010419030360857,27,97,134,53,56,47,53,57,47,14,4,5,209,210,210,404,486,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,24,0,0,0,0,0,79,0,0,0,132,0,42,0,130,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,75,0,0,0,98,0,102,0,106,82,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,104,0,84,0,123,52,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,24,0,61,0,65,0,56,0,46,0,192,0,120,0,112,0,197,0,883,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,23,0,62,0,65,0,54,0,44,0,191,0,119,0,111,0,197,0,883,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,24,0,58,0,61,0,69,0,58,0,217,0,135,0,199,0,323,0,993,0,10000,0,0,0,0,0,0,0,158,156,26,158,156,26,207,208,210,405,405,405,0,5000,0,0,0,404,404,404,8,7,7,10,10,10,21,16,19,20,95,110,272,92,130,54,57,47,52,57,47,15,5,6,206,207,208,404,404,404,89972010419030360550,21,0,0,0,0,0,0,-24.12723041117145,-238.35403726708074,False,False,False,False,False,False,False,False,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err,Com Err
