,V1/V12_Voltage_0-Vmax
2021-02-24 13:00:00,403.0
2021-02-24 12:59:00,403.0
2021-02-24 12:58:00,403.0
2021-02-24 12:57:00,405.0
2021-02-24 12:56:00,402.0
2021-02-24 12:55:00,403.0
2021-02-24 12:54:00,403.0
2021-02-24 12:53:00,403.0
2021-02-24 12:52:00,403.0
2021-02-24 12:51:00,403.0
2021-02-24 12:50:00,403.0
2021-02-24 12:49:00,404.0
2021-02-24 12:48:00,403.0
2021-02-24 12:47:00,404.0
2021-02-24 12:46:00,402.0
2021-02-24 12:45:00,402.0
2021-02-24 12:44:00,402.0
2021-02-24 12:43:00,403.0
2021-02-24 12:42:00,404.0
2021-02-24 12:41:00,403.0
2021-02-24 12:40:00,403.0
2021-02-24 12:39:00,403.0
2021-02-24 12:38:00,403.0
2021-02-24 12:37:00,403.0
2021-02-24 12:36:00,403.0
2021-02-24 12:35:00,404.0
2021-02-24 12:34:00,405.0
2021-02-24 12:33:00,404.0
2021-02-24 12:32:00,404.0
2021-02-24 12:31:00,404.0
2021-02-24 12:30:00,405.0
2021-02-24 12:29:00,405.0
2021-02-24 12:28:00,405.0
2021-02-24 12:27:00,405.0
2021-02-24 12:26:00,405.0
2021-02-24 12:25:00,404.0
2021-02-24 12:24:00,403.0
2021-02-24 12:23:00,403.0
2021-02-24 12:22:00,403.0
2021-02-24 12:21:00,403.0
2021-02-24 12:20:00,403.0
2021-02-24 12:19:00,403.0
2021-02-24 12:18:00,404.0
2021-02-24 12:17:00,403.0
2021-02-24 12:16:00,404.0
2021-02-24 12:15:00,405.0
2021-02-24 12:14:00,403.0
2021-02-24 12:13:00,405.0
2021-02-24 12:12:00,405.0
2021-02-24 12:11:00,404.0
2021-02-24 12:10:00,403.0
2021-02-24 12:09:00,403.0
2021-02-24 12:08:00,404.0
2021-02-24 12:07:00,405.0
2021-02-24 12:06:00,403.0
2021-02-24 12:05:00,404.0
2021-02-24 12:04:00,404.0
2021-02-24 12:03:00,403.0
2021-02-24 12:02:00,403.0
2021-02-24 12:01:00,403.0
2021-02-24 12:00:00,404.0
